@relation fact
@attribute cap.diameter numeric
@attribute habitat {'d','g','h','l','m','p','u','w'}
@attribute class {'e','p'}
@data
15.26,'d','p'
16.6,'d','p'
14.07,'d','p'
14.17,'d','p'
14.64,'d','p'
15.34,'d','p'
14.85,'d','p'
14.86,'d','p'
12.85,'d','p'
13.55,'d','p'
14.17,'d','p'
13.4,'d','p'
17.37,'d','p'
16.56,'d','p'
15.37,'d','p'
15.54,'d','p'
15.19,'d','p'
17.4,'d','p'
16.16,'d','p'
16.93,'d','p'
13,'d','p'
13.06,'d','p'
17.23,'d','p'
14.39,'d','p'
15.56,'d','p'
13.2,'d','p'
13.9,'d','p'
16.38,'d','p'
13.3,'d','p'
15.95,'d','p'
16.58,'d','p'
14.1,'d','p'
13.81,'d','p'
14.67,'d','p'
14.23,'d','p'
14.78,'d','p'
15.08,'d','p'
16,'d','p'
14.76,'d','p'
14.89,'d','p'
13.05,'d','p'
13.03,'d','p'
14.07,'d','p'
15.09,'d','p'
12.22,'d','p'
15.12,'d','p'
18.04,'d','p'
12.27,'d','p'
16.03,'d','p'
16.51,'d','p'
14.96,'d','p'
15.9,'d','p'
15.48,'d','p'
15.63,'d','p'
14.8,'d','p'
16,'d','p'
15.07,'d','p'
13.12,'d','p'
13.82,'d','p'
17.23,'d','p'
12.57,'d','p'
14.85,'d','p'
12.55,'d','p'
13.53,'d','p'
16.84,'d','p'
15.73,'d','p'
11.46,'d','p'
15.06,'d','p'
16.15,'d','p'
13.78,'d','p'
16.77,'d','p'
17.32,'d','p'
18.65,'d','p'
14.11,'d','p'
16.25,'d','p'
13.59,'d','p'
17.3,'d','p'
12.13,'d','p'
12.29,'d','p'
14.74,'d','p'
15.13,'d','p'
13.66,'d','p'
13.3,'d','p'
14.16,'d','p'
16.66,'d','p'
15.55,'d','p'
14.28,'d','p'
16.92,'d','p'
15.55,'d','p'
15.08,'d','p'
12.02,'d','p'
13.69,'d','p'
15.36,'d','p'
15.22,'d','p'
15.49,'d','p'
12.16,'d','p'
16.04,'d','p'
16.31,'d','p'
15.35,'d','p'
11.17,'d','p'
13.74,'d','p'
14.62,'d','p'
13.14,'d','p'
15.53,'d','p'
17.08,'d','p'
17.09,'d','p'
15.31,'d','p'
16.11,'d','p'
14.96,'d','p'
16.12,'d','p'
14.19,'d','p'
15.67,'d','p'
11.35,'d','p'
14.52,'d','p'
14.41,'d','p'
16.3,'d','p'
13.36,'d','p'
14.29,'d','p'
12.29,'d','p'
13.66,'d','p'
14.51,'d','p'
14.55,'d','p'
14.97,'d','p'
13.06,'d','p'
12.85,'d','p'
14,'d','p'
13.93,'d','p'
17.91,'d','p'
14.43,'d','p'
13.43,'d','p'
13.04,'d','p'
17.1,'d','p'
15.07,'d','p'
15.03,'d','p'
16.37,'d','p'
11.02,'d','p'
17.61,'d','p'
17.54,'d','p'
16.77,'d','p'
16.21,'d','p'
14.94,'d','p'
14.74,'d','p'
15.97,'d','p'
13.56,'d','p'
15.13,'d','p'
15.42,'d','p'
13.49,'d','p'
15.71,'d','p'
14.96,'d','p'
15.34,'d','p'
12.26,'d','p'
13.46,'d','p'
16.59,'d','p'
14.98,'d','p'
13.7,'d','p'
14.92,'d','p'
12,'d','p'
14.75,'d','p'
16.6,'d','p'
11.77,'d','p'
16.37,'d','p'
13.89,'d','p'
11.71,'d','p'
15.5,'d','p'
15.93,'d','p'
17.73,'d','p'
17.23,'d','p'
16.76,'d','p'
14.14,'d','p'
12.86,'d','p'
16.79,'d','p'
14.18,'d','p'
13.56,'d','p'
14.32,'d','p'
13.64,'d','p'
13.49,'d','p'
14.7,'d','p'
13.33,'d','p'
12.87,'d','p'
14.36,'d','p'
14.39,'d','p'
14.17,'d','p'
16.4,'d','p'
12.31,'d','p'
14.77,'d','p'
15.02,'d','p'
13.9,'d','p'
17.13,'d','p'
13.68,'d','p'
15,'d','p'
13.5,'d','p'
13.94,'d','p'
14.62,'d','p'
13.76,'d','p'
16.71,'d','p'
15.5,'d','p'
14.77,'d','p'
18.14,'d','p'
15.78,'d','p'
17.25,'d','p'
16.58,'d','p'
13.06,'d','p'
15.48,'d','p'
16.1,'d','p'
15.57,'d','p'
15.02,'d','p'
14.13,'d','p'
16.03,'d','p'
13.82,'d','p'
15.89,'d','p'
15,'d','p'
17.22,'d','p'
16.76,'d','p'
16.97,'d','p'
17.87,'d','p'
12.96,'d','p'
15.59,'d','p'
14.37,'d','p'
14.8,'d','p'
13.42,'d','p'
13.44,'d','p'
15.64,'d','p'
15.16,'d','p'
14.24,'d','p'
13.27,'d','p'
14.33,'d','p'
18.59,'d','p'
16.92,'d','p'
14.63,'d','p'
14.71,'d','p'
14.84,'d','p'
14.1,'d','p'
11.69,'d','p'
13.63,'d','p'
15.29,'d','p'
15.57,'d','p'
17.58,'d','p'
15.4,'d','p'
13.64,'d','p'
17.25,'d','p'
17.84,'d','p'
15.48,'d','p'
14.57,'d','p'
14.45,'d','p'
15.79,'d','p'
17.38,'d','p'
14.91,'d','p'
16.98,'d','p'
13.73,'d','p'
14.99,'d','p'
15.01,'d','p'
15.84,'d','p'
16.62,'d','p'
11.29,'d','p'
13.95,'d','p'
14.27,'d','p'
17.38,'d','p'
13.05,'d','p'
14.45,'d','p'
15.88,'d','p'
15.28,'d','p'
14.68,'d','p'
14.39,'d','p'
16.16,'d','p'
15.47,'d','p'
14.05,'d','p'
15.02,'d','p'
17.17,'d','p'
15.01,'d','p'
16.22,'d','p'
14.94,'d','p'
13.22,'d','p'
13.66,'d','p'
18.31,'d','p'
11.68,'d','p'
13.45,'d','p'
14.42,'d','p'
15.6,'d','p'
10.58,'d','p'
17.58,'d','p'
15.6,'d','p'
16.68,'d','p'
15.66,'d','p'
12.18,'d','p'
15.71,'d','p'
14.73,'d','p'
12.42,'d','p'
18.68,'d','p'
