@relation dati
@attribute speed numeric
@attribute dist numeric
@attribute kv_speed numeric
@data
4,2,16
4,10,16
7,4,49
7,22,49
8,16,64
9,10,81
10,18,100
10,26,100
10,34,100
11,17,121
11,28,121
12,14,144
12,20,144
12,24,144
12,28,144
13,26,169
13,34,169
13,34,169
13,46,169
14,26,196
14,36,196
14,60,196
14,80,196
15,20,225
15,26,225
15,54,225
16,32,256
16,40,256
17,32,289
17,40,289
17,50,289
18,42,324
18,56,324
18,76,324
18,84,324
19,36,361
19,46,361
19,68,361
20,32,400
20,48,400
20,52,400
20,56,400
20,64,400
22,66,484
23,54,529
24,70,576
24,92,576
24,93,576
24,120,576
25,85,625
