@relation full_df
@attribute Country {'Austria','Belgium','Bulgaria','Cyprus','Croatia','Czechia','Denmark','Estonia','Finland','France','Germany','Greece','Hungary','Ireland','Italy','Latvia','Lithuania','Luxembourg','Malta','Netherlands','Poland','Portugal','Romania','Slovakia','Slovenia','Spain','Sweden'}
@attribute G3.1 numeric
@attribute G3.2 numeric
@attribute G3.3 numeric
@attribute G3.4 numeric
@attribute G3.5 numeric
@attribute G3.6 numeric
@attribute G3.7 numeric
@attribute G4.1 numeric
@attribute G4.2 numeric
@attribute G4.3 numeric
@attribute G4.4 numeric
@attribute G4.5 numeric
@attribute G5.1 numeric
@attribute G5.2 numeric
@attribute G5.3 numeric
@attribute G5.4 numeric
@attribute G5.5 numeric
@attribute G5.6 numeric
@attribute G5.7 numeric
@attribute G6.1 numeric
@attribute G6.2 numeric
@attribute G6.3 numeric
@attribute G7.1 numeric
@attribute G7.2 numeric
@attribute G8.1 numeric
@attribute G8.2 numeric
@attribute G8.3 numeric
@attribute G9.1 numeric
@attribute G9.2 numeric
@attribute G9.3 numeric
@attribute G9.4 numeric
@attribute G9.6 numeric
@attribute G9.7 numeric
@attribute G9.8 numeric
@attribute G9.9 numeric
@attribute G9.10 numeric
@attribute G9.11 numeric
@attribute G11.1 numeric
@attribute G11.2 numeric
@attribute G11.3 numeric
@attribute G11.4 numeric
@attribute G12.1 numeric
@attribute G12.2 numeric
@attribute G13.1 numeric
@attribute G13.2 numeric
@attribute G15.1 numeric
@attribute G16.1 numeric
@attribute G16.2 numeric
@attribute G17.1 numeric
@attribute AHDI numeric
@data
'Belgium',74,14.7,1.8,11.532,2,3.4,219.77,8.4,19.399999999999999,36,45.2,14,5.8,7.8999999999999986,7.2000000000000028,4.5,42.4,39,5,0.3,0.7,82.96,8.3089999999999993,3.9,69,14,2.2999999999999998,52.5,53,15.6,60.3,39.606000000000002,51.03799999999999,49.77,44.33,0.52373999999999998,23.956800000000001,16.7,13.3,9.3000000000000007,2.1,54.7,39.299999999999997,10.8,15,24.3,58.6,62,73.7,0.88535929881943
'Bulgaria',67.2,14.1,1.1000000000000001,6.1520000000000001,3.3,6.7,422.04,13.9,5.5,24.7,24.6,13.6,13.9,10.5,8.0999999999999943,8.5,27.1,26,2,7.9,13.7,63.72,35.506999999999998,30.1,73.2,9.6999999999999993,2.4,34.9,23,18.8,52.1,6.3940000000000001,11.323,6.72,7.6934000000000005,0.50224000000000002,2.7993000000000001,11.6,20.2,13.7,1.2,31.5,66.7,8.3000000000000007,13.1,48,25.4,34,45.1,0.732054711472739
'Czechia',62,20.5,0.1,6.5670000000000002,1.6,3.2,324.13,6.7,16.600000000000001,21.6,46.1,16.5,20.100000000000001,3.5999999999999979,13.800000000000011,3.3999999999999986,20.6,28,0,0.2,0.4,82.3,22.65,2.8,76.7,11.5,0.6,45,38,27.6,40,25.552999999999997,32.684600000000003,29.61,31.345600000000001,0.76539999999999997,13.057200000000002,7.3,7.8,5.7,1.5,34.5,43.6,12.2,11.1,38,53.8,51,41.1,0.853689453362506
'Denmark',69.7,14.9,0.3,8.0239999999999991,3,3.8,229.9,9.9,15.8,33.1,50.4,23.3,14.6,9.2000000000000028,6,4.7000000000000028,39.700000000000003,32.9,4,1.8,0.3,92.9,48.017000000000003,2.8,79.099999999999994,22.4,0.8,53.3,50,17.399999999999999,87.1,33.212000000000003,33.123999999999995,41.16,21.564399999999999,0.37496000000000002,13.392000000000001,14.9,7.5,7.7,1.9,51.5,67.5,8.9,8.4,16.3,91.7,87,60.7,0.927985914997706
'Germany',65.5,16.899999999999999,0.1,9.9819999999999993,2.2999999999999998,3.8,240.98,10.3,19.100000000000001,26,52,20.100000000000001,20.100000000000001,3.9,7.7000000000000028,1.8000000000000114,31.7,27,6,0,0.2,95.97,14.554,2.5,79.2,15.5,1.2,51,29,23.7,54.4,34.5,43.0274,50.47,40.154400000000003,1.1945400000000002,8.416500000000001,12,13.1,5.7,1.8,66.7,36.9,10.7,25.2,32.299999999999997,59.1,74,52.8,0.912718769135003
'Estonia',56.6,21,0.4,8.298,1.1000000000000001,2.4,383.86,9.8000000000000007,22.5,36.5,44,15.7,21.8,18.3,6.7999999999999972,4.8999999999999986,28.7,28.6,1,5.8,4.7,87.87,52.277999999999999,2.5,78.900000000000006,20.2,0.9,41.8,26,17.600000000000001,49.6,15.341000000000001,43.432999999999993,13.545,42.385199999999998,1.5350999999999999,24.831000000000003,13.8,7.4,6.9,1.7,28.9,53.7,15.3,10.199999999999999,58.4,80,55,43.6,0.823234725177553
'Ireland',84,15.2,0.9,18.419,2.1,3.3,202.64,5.0999999999999996,15.4,40.700000000000003,53.9,35.200000000000003,14.4,6.8999999999999986,10.799999999999997,0.29999999999999716,24.3,22.8,1,0.2,0.2,61.15,6.3170000000000002,4.9000000000000004,73.3,19.8,1.6,48.6,28,36.6,54.6,33.212000000000003,38.802399999999999,54.88,36.893999999999998,0.53320000000000001,11.922599999999999,12.5,8.8000000000000007,10.1,2.1,37.6,53.5,13.2,6.5,18.8,61.1,74,60.6,0.900298443524321
'Greece',79.3,17.3,7.5,4.09,2.2999999999999998,3.8,235.6,4.0999999999999996,6.2,27.8,16.7,17.600000000000001,7.9,3.6000000000000014,18.600000000000009,4,21.7,17.3,3,0.5,0.3,93.4,30.190999999999999,17.899999999999999,68.400000000000006,15.9,12.2,38.200000000000003,38,13.1,33.700000000000003,12.788,47.252399999999994,51.555,43.815199999999997,0.89182000000000006,24.579900000000002,12.5,16.899999999999999,12.5,1.2,28.1,35.799999999999997,9,20.2,47.4,52.1,57,17.7,0.837154444671272
'Spain',75.3,14.1,0,7.65,1.8,3.1,181.3,17.3,10.9,35.1,43.4,21.5,11.9,5.6000000000000014,10.800000000000004,5,41.9,35.799999999999997,3,0.3,0.4,86.62,18.852,7.5,73.8,20.9,5.3,40.1,43,15.8,60.8,21.712000000000003,13.756600000000001,23.52,8.6943999999999999,0.45150000000000001,5.9892000000000003,14.7,11.6,12.1,1.9,34.700000000000003,43,7.5,9.9,41.1,57.6,37,61.2,0.870065143352654
'France',66.7,15.4,0.8,14.175000000000001,2.7,4.5,196.06,8.1999999999999993,15.9,33.700000000000003,51.3,26.6,15.8,5.3999999999999986,6.2000000000000028,3.5999999999999943,37.1,40.299999999999997,2,0.5,0.5,79.3,22.463999999999999,6.2,72,16.7,3.4,50.8,48,13.3,30.7,20.446999999999999,39.1066,49.98,35.893000000000001,0.54610000000000003,13.95,11.5,14.7,10.6,1.9,46.3,34.200000000000003,6.9,14.9,32.799999999999997,74.7,59,24.8,0.889829697235138
