@relation ind_clean
@attribute country {'Austria','Belgium','Bulgaria','Cyprus','Croatia','Czechia','Denmark','Estonia','Finland','France','Germany','Greece','Hungary','Ireland','Italy','Latvia','Lithuania','Luxembourg','Malta','Netherlands','Poland','Portugal','Romania','Slovakia','Slovenia','Spain','Sweden'}
@attribute g3_1 numeric
@attribute g3_2 numeric
@attribute g3_3 numeric
@attribute g3_4 numeric
@attribute g3_5 numeric
@attribute g3_6 numeric
@attribute g3_7 numeric
@attribute g4_1 numeric
@attribute g4_2 numeric
@attribute g4_3 numeric
@attribute g4_4 numeric
@attribute g4_5 numeric
@attribute g5_1 numeric
@attribute g5_2 numeric
@attribute g5_3 numeric
@attribute g5_4 numeric
@attribute g5_5 numeric
@attribute g5_6 numeric
@attribute g5_7 numeric
@attribute g6_1 numeric
@attribute g6_2 numeric
@attribute g6_3 numeric
@attribute g7_1 numeric
@attribute g7_2 numeric
@attribute g8_1 numeric
@attribute g8_2 numeric
@attribute g8_3 numeric
@attribute g9_1 numeric
@attribute g9_2 numeric
@attribute g9_3 numeric
@attribute g9_4 numeric
@attribute g9_6 numeric
@attribute g9_7 numeric
@attribute g9_8 numeric
@attribute g9_9 numeric
@attribute g9_10 numeric
@attribute g9_11 numeric
@attribute g11_1 numeric
@attribute g11_2 numeric
@attribute g11_3 numeric
@attribute g11_4 numeric
@attribute g12_1 numeric
@attribute g12_2 numeric
@attribute g13_1 numeric
@attribute g13_2 numeric
@attribute g15_1 numeric
@attribute g16_1 numeric
@attribute g16_2 numeric
@attribute g17_1 numeric
@data
'Belgium',74,14.7,1.8,11.532,2,3.4,219.77,8.4,19.4,36,45.2,14,5.8,7.9,7.2,4.5,42.4,39,5,0.3,0.7,82.96,8.309,3.9,69,14,2.3,52.5,53,15.6,60.3,39.606,51.038,49.77,44.33,0.52374,23.9568,16.7,13.3,9.3,2.1,54.7,39.3,10.8,15,24.3,58.6,62,73.7
'Bulgaria',67.2,14.1,1.1,6.152,3.3,6.7,422.04,13.9,5.5,24.7,24.6,13.6,13.9,10.5,8.09999999999999,8.5,27.1,26,2,7.9,13.7,63.72,35.507,30.1,73.2,9.7,2.4,34.9,23,18.8,52.1,6.394,11.323,6.72,7.6934,0.50224,2.7993,11.6,20.2,13.7,1.2,31.5,66.7,8.3,13.1,48,25.4,34,45.1
'Czechia',62,20.5,0.1,6.567,1.6,3.2,324.13,6.7,16.6,21.6,46.1,16.5,20.1,3.6,13.8,3.4,20.6,28,0,0.2,0.4,82.3,22.65,2.8,76.7,11.5,0.6,45,38,27.6,40,25.553,32.6846,29.61,31.3456,0.7654,13.0572,7.3,7.8,5.7,1.5,34.5,43.6,12.2,11.1,38,53.8,51,41.1
'Denmark',69.7,14.9,0.3,8.024,3,3.8,229.9,9.9,15.8,33.1,50.4,23.3,14.6,9.2,6,4.7,39.7,32.9,4,1.8,0.3,92.9,48.017,2.8,79.1,22.4,0.8,53.3,50,17.4,87.1,33.212,33.124,41.16,21.5644,0.37496,13.392,14.9,7.5,7.7,1.9,51.5,67.5,8.9,8.4,16.3,91.7,87,60.7
'Germany',65.5,16.9,0.1,9.982,2.3,3.8,240.98,10.3,19.1,26,52,20.1,20.1,3.9,7.7,1.80000000000001,31.7,27,6,0,0.2,95.97,14.554,2.5,79.2,15.5,1.2,51,29,23.7,54.4,34.5,43.0274,50.47,40.1544,1.19454,8.4165,12,13.1,5.7,1.8,66.7,36.9,10.7,25.2,32.3,59.1,74,52.8
'Estonia',56.6,21,0.4,8.298,1.1,2.4,383.86,9.8,22.5,36.5,44,15.7,21.8,18.3,6.8,4.9,28.7,28.6,1,5.8,4.7,87.87,52.278,2.5,78.9,20.2,0.9,41.8,26,17.6,49.6,15.341,43.433,13.545,42.3852,1.5351,24.831,13.8,7.4,6.9,1.7,28.9,53.7,15.3,10.2,58.4,80,55,43.6
'Ireland',84,15.2,0.9,18.419,2.1,3.3,202.64,5.1,15.4,40.7,53.9,35.2,14.4,6.9,10.8,0.299999999999997,24.3,22.8,1,0.2,0.2,61.15,6.317,4.9,73.3,19.8,1.6,48.6,28,36.6,54.6,33.212,38.8024,54.88,36.894,0.5332,11.9226,12.5,8.8,10.1,2.1,37.6,53.5,13.2,6.5,18.8,61.1,74,60.6
'Greece',79.3,17.3,7.5,4.09,2.3,3.8,235.6,4.1,6.2,27.8,16.7,17.6,7.9,3.6,18.6,4,21.7,17.3,3,0.5,0.3,93.4,30.191,17.9,68.4,15.9,12.2,38.2,38,13.1,33.7,12.788,47.2524,51.555,43.8152,0.89182,24.5799,12.5,16.9,12.5,1.2,28.1,35.8,9,20.2,47.4,52.1,57,17.7
'Spain',75.3,14.1,0,7.65,1.8,3.1,181.3,17.3,10.9,35.1,43.4,21.5,11.9,5.6,10.8,5,41.9,35.8,3,0.3,0.4,86.62,18.852,7.5,73.8,20.9,5.3,40.1,43,15.8,60.8,21.712,13.7566,23.52,8.6944,0.4515,5.9892,14.7,11.6,12.1,1.9,34.7,43,7.5,9.9,41.1,57.6,37,61.2
'France',66.7,15.4,0.8,14.175,2.7,4.5,196.06,8.2,15.9,33.7,51.3,26.6,15.8,5.4,6.2,3.59999999999999,37.1,40.3,2,0.5,0.5,79.3,22.464,6.2,72,16.7,3.4,50.8,48,13.3,30.7,20.447,39.1066,49.98,35.893,0.5461,13.95,11.5,14.7,10.6,1.9,46.3,34.2,6.9,14.9,32.8,74.7,59,24.8
'Croatia',60.5,18.2,0.3,8.573,2.9,4.8,370.95,3,8.5,22,31.8,18.6,10.5,7.3,9.9,4.4,19.9,26.3,7,0.9,1.1,36.9,36.793,6.6,66.5,14.3,2.4,39.7,26,19.7,40.1,23,29.9468,38.815,25.7686,1.22292,9.8766,10.2,2.7,11.8,1.1,30.2,83.4,6,5.9,58.1,33,18,22.8
'Italy',72.9,10.8,1.3,8.771,1.9,3.1,175,13.5,12.1,17.4,41.5,15.5,3.9,5.4,17.9,6.09999999999999,35.8,30,7,0.7,0.8,59.6,19.674,11.1,65.7,13.6,5.6,41.1,35,18.8,37.4,17.894,42.588,40.705,42.9286,0.71638,5.208,14,9.4,18.1,1.4,49.8,32.1,7.3,12.4,37.1,23.4,37,30.6
